Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-1.54;25.84;34.56;25.29
2;192.1;-1.54;25.84;34.12;25.24
3;192.2;-1.48;25.84;33.92;25.21
4;192.3;-1.41;25.83;33.8;25.19
5;192.4;-1.36;25.83;33.71;25.18
6;192.5;-1.3;25.83;33.64;25.16
7;192.6;-1.26;25.82;33.59;25.15
8;192.7;-1.21;25.82;33.55;25.14
9;192.8;-1.17;25.84;33.52;25.15
10;192.9;-1.14;25.83;33.49;25.14
11;193.0;-1.1;25.82;33.46;25.13
12;193.1;-1.06;25.82;33.44;25.12
13;193.2;-1.02;25.83;33.42;25.13
14;193.3;-0.97;25.8;33.41;25.11
15;193.4;-0.93;25.81;33.4;25.11
16;193.5;-0.87;25.78;33.39;25.09
17;193.6;-0.81;25.8;33.38;25.1
18;193.7;-0.75;25.79;33.37;25.09
19;193.8;-0.7;25.79;33.37;25.09
20;193.9;-0.64;25.8;33.37;25.1
21;194.0;-0.58;25.79;33.37;25.09
22;194.1;-0.53;25.79;33.37;25.09
23;194.2;-0.48;25.78;33.37;25.08
24;194.3;-0.44;25.78;33.38;25.08
25;194.4;-0.4;25.77;33.39;25.08
26;194.5;-0.37;25.78;33.4;25.09
27;194.6;-0.33;25.77;33.41;25.08
28;194.7;-0.28;25.76;33.42;25.07
29;194.8;-0.23;25.74;33.44;25.06
30;194.9;-0.12;25.72;33.46;25.05
31;195.0;0.0;25.7;33.49;25.03
32;195.1;0.18;25.7;33.52;25.04
33;195.2;0.41;25.71;33.55;25.05
34;195.3;0.66;25.7;33.59;25.05
35;195.4;0.94;25.7;33.64;25.05
36;195.5;1.19;25.72;33.71;25.08
37;195.6;1.41;25.7;33.8;25.08
38;195.7;1.58;25.72;33.92;25.1
39;195.8;1.7;25.75;34.12;25.16
40;195.9;1.77;25.76;34.56;25.22
