Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.41;23.86;28.4;22.55
2;192.1;0.35;23.84;27.98;22.42
3;192.2;0.32;23.82;27.81;22.36
4;192.3;0.26;23.8;27.71;22.32
5;192.4;0.2;23.78;27.66;22.29
6;192.5;0.15;23.76;27.62;22.26
7;192.6;0.12;23.74;27.59;22.24
8;192.7;0.06;23.72;27.58;22.22
9;192.8;0.02;23.71;27.56;22.21
10;192.9;-0.01;23.69;27.56;22.2
11;193.0;-0.05;23.68;27.55;22.19
12;193.1;-0.06;23.67;27.54;22.18
13;193.2;-0.12;23.65;27.55;22.17
14;193.3;-0.15;23.64;27.55;22.16
15;193.4;-0.15;23.63;27.55;22.15
16;193.5;-0.17;23.63;27.55;22.15
17;193.6;-0.2;23.61;27.56;22.14
18;193.7;-0.22;23.6;27.57;22.14
19;193.8;-0.25;23.59;27.58;22.13
20;193.9;-0.31;23.57;27.61;22.12
21;194.0;-0.34;23.55;27.63;22.12
22;194.1;-0.39;23.54;27.65;22.11
23;194.2;-0.44;23.51;27.67;22.1
24;194.3;-0.47;23.5;27.7;22.1
25;194.4;-0.56;23.47;27.73;22.08
26;194.5;-0.59;23.45;27.75;22.08
27;194.6;-0.6;23.45;27.77;22.08
28;194.7;-0.6;23.45;27.77;22.08
29;194.8;-0.57;23.45;27.77;22.09
30;194.9;-0.5;23.48;27.75;22.1
31;195.0;-0.39;23.51;27.72;22.12
32;195.1;-0.23;23.57;27.67;22.14
33;195.2;-0.05;23.63;27.62;22.17
34;195.3;0.15;23.7;27.56;22.2
35;195.4;0.38;23.78;27.49;22.24
36;195.5;0.59;23.85;27.45;22.28
37;195.6;0.73;23.9;27.45;22.31
38;195.7;0.87;23.94;27.49;22.35
39;195.8;0.95;23.96;27.64;22.41
40;195.9;0.98;23.97;28.06;22.54
