Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;3.87;28.53;23.75;22.5
2;192.0;3.86;28.53;23.16;22.05
3;192.05;3.86;28.53;22.91;21.86
4;192.1;3.86;28.52;22.77;21.75
5;192.15;3.83;28.51;22.69;21.68
6;192.2;3.8;28.49;22.64;21.64
7;192.25;3.77;28.47;22.61;21.61
8;192.3;3.74;28.45;22.59;21.59
9;192.35;3.71;28.44;22.58;21.58
10;192.4;3.69;28.42;22.58;21.57
11;192.45;3.65;28.4;22.58;21.57
12;192.5;3.61;28.38;22.6;21.58
13;192.55;3.58;28.36;22.61;21.59
14;192.6;3.54;28.34;22.63;21.6
15;192.65;3.51;28.32;22.65;21.61
16;192.7;3.47;28.3;22.67;21.62
17;192.75;3.44;28.29;22.7;21.64
18;192.8;3.41;28.28;22.72;21.65
19;192.85;3.38;28.26;22.74;21.67
20;192.9;3.35;28.24;22.77;21.69
21;192.95;3.32;28.22;22.8;21.7
22;193.0;3.28;28.2;22.83;21.72
23;193.05;3.25;28.18;22.86;21.74
24;193.1;3.21;28.16;22.89;21.76
25;193.15;3.17;28.15;22.93;21.79
26;193.2;3.14;28.14;22.96;21.81
27;193.25;3.1;28.11;23.0;21.83
28;193.3;3.06;28.08;23.04;21.85
29;193.35;3.03;28.07;23.07;21.88
30;193.4;3.0;28.06;23.11;21.91
31;193.45;2.95;28.02;23.16;21.93
32;193.5;2.9;27.98;23.2;21.96
33;193.55;2.86;27.97;23.25;21.99
34;193.6;2.81;27.95;23.29;22.02
35;193.65;2.77;27.93;23.34;22.04
36;193.7;2.73;27.9;23.39;22.07
37;193.75;2.69;27.88;23.43;22.1
38;193.8;2.65;27.85;23.48;22.13
39;193.85;2.61;27.84;23.52;22.15
40;193.9;2.57;27.83;23.57;22.18
41;193.95;2.53;27.8;23.61;22.21
42;194.0;2.49;27.78;23.66;22.24
43;194.05;2.45;27.75;23.71;22.26
44;194.1;2.41;27.73;23.75;22.29
45;194.15;2.37;27.71;23.8;22.32
46;194.2;2.34;27.68;23.84;22.34
47;194.25;2.3;27.66;23.89;22.37
48;194.3;2.26;27.64;23.93;22.39
49;194.35;2.23;27.62;23.98;22.42
50;194.4;2.19;27.6;24.02;22.44
51;194.45;2.16;27.59;24.06;22.47
52;194.5;2.12;27.58;24.11;22.5
53;194.55;2.09;27.55;24.16;22.52
54;194.6;2.05;27.53;24.21;22.55
55;194.65;2.02;27.5;24.26;22.57
56;194.7;1.98;27.47;24.31;22.6
57;194.75;1.93;27.45;24.37;22.63
58;194.8;1.89;27.42;24.44;22.67
59;194.85;1.83;27.37;24.51;22.7
60;194.9;1.76;27.33;24.59;22.74
61;194.95;1.69;27.29;24.68;22.78
62;195.0;1.62;27.24;24.77;22.82
63;195.05;1.52;27.17;24.87;22.86
64;195.1;1.41;27.1;24.99;22.91
65;195.15;1.28;27.04;25.11;22.96
66;195.2;1.15;26.97;25.24;23.01
67;195.25;1.02;26.89;25.37;23.06
68;195.3;0.88;26.81;25.51;23.1
69;195.35;0.74;26.73;25.65;23.14
70;195.4;0.59;26.65;25.79;23.19
71;195.45;0.45;26.57;25.93;23.23
72;195.5;0.32;26.5;26.07;23.27
73;195.55;0.2;26.42;26.21;23.3
74;195.6;0.09;26.34;26.34;23.33
75;195.65;-0.01;26.28;26.48;23.37
76;195.7;-0.11;26.22;26.63;23.41
77;195.75;-0.18;26.18;26.78;23.46
78;195.8;-0.25;26.14;26.97;23.52
79;195.85;-0.31;26.1;27.21;23.61
80;195.9;-0.35;26.07;27.68;23.79
