Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.59;23.72;28.99;22.59
2;192.1;-0.59;23.72;28.55;22.49
3;192.2;-0.58;23.73;28.35;22.44
4;192.3;-0.57;23.73;28.21;22.41
5;192.4;-0.55;23.73;28.12;22.38
6;192.5;-0.53;23.74;28.04;22.37
7;192.6;-0.51;23.74;27.98;22.35
8;192.7;-0.49;23.74;27.92;22.34
9;192.8;-0.47;23.76;27.88;22.34
10;192.9;-0.46;23.76;27.84;22.33
11;193.0;-0.44;23.76;27.8;22.32
12;193.1;-0.42;23.76;27.77;22.31
13;193.2;-0.41;23.78;27.75;22.31
14;193.3;-0.39;23.75;27.72;22.29
15;193.4;-0.38;23.77;27.7;22.29
16;193.5;-0.36;23.75;27.67;22.27
17;193.6;-0.33;23.77;27.65;22.28
18;193.7;-0.31;23.77;27.63;22.27
19;193.8;-0.29;23.77;27.62;22.27
20;193.9;-0.27;23.79;27.6;22.28
21;194.0;-0.24;23.79;27.59;22.28
22;194.1;-0.22;23.79;27.57;22.28
23;194.2;-0.2;23.79;27.56;22.27
24;194.3;-0.18;23.79;27.56;22.27
25;194.4;-0.16;23.79;27.55;22.27
26;194.5;-0.15;23.81;27.55;22.28
27;194.6;-0.13;23.8;27.55;22.27
28;194.7;-0.11;23.79;27.55;22.27
29;194.8;-0.1;23.79;27.55;22.26
30;194.9;-0.07;23.78;27.55;22.26
31;195.0;-0.04;23.78;27.55;22.26
32;195.1;0.01;23.79;27.54;22.26
33;195.2;0.07;23.84;27.54;22.29
34;195.3;0.15;23.87;27.53;22.31
35;195.4;0.25;23.91;27.53;22.34
36;195.5;0.35;23.98;27.54;22.39
37;195.6;0.44;24.0;27.58;22.42
38;195.7;0.53;24.03;27.65;22.47
39;195.8;0.6;24.08;27.82;22.55
40;195.9;0.65;24.1;28.24;22.68
