Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-6.13;17.56;31.11;17.37
2;192.1;-6.12;17.57;30.7;17.36
3;192.2;-6.05;17.62;30.48;17.4
4;192.3;-5.91;17.72;30.3;17.49
5;192.4;-5.72;17.83;30.15;17.58
6;192.5;-5.48;17.93;30.02;17.67
7;192.6;-5.26;18.02;29.91;17.75
8;192.7;-5.05;18.1;29.8;17.82
9;192.8;-4.87;18.2;29.7;17.9
10;192.9;-4.72;18.25;29.61;17.95
11;193.0;-4.56;18.32;29.52;18.0
12;193.1;-4.41;18.38;29.43;18.05
13;193.2;-4.25;18.47;29.34;18.12
14;193.3;-4.08;18.51;29.24;18.16
15;193.4;-3.93;18.59;29.15;18.23
16;193.5;-3.72;18.66;29.05;18.28
17;193.6;-3.49;18.77;28.94;18.37
18;193.7;-3.26;18.87;28.83;18.45
19;193.8;-3.03;18.96;28.71;18.52
20;193.9;-2.81;19.07;28.6;18.61
21;194.0;-2.58;19.15;28.48;18.67
22;194.1;-2.35;19.24;28.37;18.74
23;194.2;-2.14;19.31;28.26;18.79
24;194.3;-1.95;19.38;28.15;18.84
25;194.4;-1.77;19.44;28.04;18.88
26;194.5;-1.61;19.51;27.93;18.93
27;194.6;-1.46;19.55;27.81;18.95
28;194.7;-1.3;19.6;27.68;18.97
29;194.8;-1.14;19.66;27.53;19.0
30;194.9;-0.88;19.76;27.32;19.06
31;195.0;-0.54;19.9;27.06;19.14
32;195.1;-0.07;20.12;26.72;19.26
33;195.2;0.6;20.42;26.28;19.42
34;195.3;1.42;20.73;25.74;19.54
35;195.4;2.42;21.07;25.11;19.63
36;195.5;3.5;21.42;24.42;19.65
37;195.6;4.52;21.67;23.77;19.58
38;195.7;5.4;21.89;23.22;19.49
39;195.8;6.12;22.07;22.88;19.45
40;195.9;6.66;22.17;22.98;19.54
