Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;-6.01;17.67;29.26;17.38
2;192.0;-6.01;17.67;28.75;17.34
3;192.05;-6.01;17.67;28.51;17.32
4;192.1;-6.01;17.67;28.35;17.31
5;192.15;-5.98;17.7;28.23;17.33
6;192.2;-5.94;17.72;28.13;17.35
7;192.25;-5.91;17.75;28.04;17.36
8;192.3;-5.88;17.78;27.97;17.38
9;192.35;-5.85;17.8;27.9;17.4
10;192.4;-5.82;17.83;27.83;17.41
11;192.45;-5.77;17.86;27.77;17.44
12;192.5;-5.73;17.89;27.72;17.46
13;192.55;-5.69;17.92;27.67;17.48
14;192.6;-5.65;17.95;27.62;17.5
15;192.65;-5.61;17.97;27.57;17.52
16;192.7;-5.57;18.0;27.52;17.54
17;192.75;-5.54;18.04;27.48;17.57
18;192.8;-5.5;18.07;27.44;17.6
19;192.85;-5.47;18.09;27.4;17.61
20;192.9;-5.44;18.11;27.36;17.63
21;192.95;-5.4;18.14;27.32;17.64
22;193.0;-5.36;18.16;27.29;17.66
23;193.05;-5.32;18.19;27.25;17.68
24;193.1;-5.28;18.21;27.21;17.7
25;193.15;-5.24;18.25;27.18;17.73
26;193.2;-5.19;18.29;27.14;17.75
27;193.25;-5.15;18.3;27.1;17.76
28;193.3;-5.11;18.31;27.07;17.77
29;193.35;-5.07;18.35;27.03;17.79
30;193.4;-5.04;18.38;27.0;17.82
31;193.45;-4.98;18.4;26.96;17.83
32;193.5;-4.92;18.43;26.92;17.85
33;193.55;-4.87;18.47;26.88;17.88
34;193.6;-4.83;18.51;26.85;17.91
35;193.65;-4.78;18.54;26.81;17.93
36;193.7;-4.73;18.57;26.77;17.95
37;193.75;-4.69;18.59;26.74;17.97
38;193.8;-4.64;18.63;26.7;18.0
39;193.85;-4.6;18.67;26.66;18.03
40;193.9;-4.55;18.7;26.63;18.05
41;193.95;-4.51;18.73;26.59;18.07
42;194.0;-4.46;18.76;26.56;18.09
43;194.05;-4.41;18.79;26.52;18.11
44;194.1;-4.37;18.81;26.49;18.13
45;194.15;-4.33;18.84;26.46;18.15
46;194.2;-4.28;18.86;26.42;18.16
47;194.25;-4.24;18.89;26.39;18.18
48;194.3;-4.2;18.91;26.36;18.19
49;194.35;-4.16;18.93;26.33;18.2
50;194.4;-4.12;18.95;26.3;18.22
51;194.45;-4.08;18.98;26.27;18.24
52;194.5;-4.04;19.01;26.24;18.26
53;194.55;-4.0;19.03;26.21;18.27
54;194.6;-3.96;19.05;26.18;18.28
55;194.65;-3.92;19.07;26.15;18.29
56;194.7;-3.87;19.09;26.11;18.3
57;194.75;-3.83;19.11;26.07;18.31
58;194.8;-3.78;19.13;26.03;18.32
59;194.85;-3.71;19.17;25.98;18.35
60;194.9;-3.63;19.21;25.92;18.37
61;194.95;-3.55;19.25;25.85;18.4
62;195.0;-3.47;19.3;25.78;18.42
63;195.05;-3.36;19.38;25.7;18.47
64;195.1;-3.24;19.47;25.61;18.52
65;195.15;-3.09;19.57;25.51;18.59
66;195.2;-2.94;19.68;25.4;18.65
67;195.25;-2.79;19.78;25.28;18.7
68;195.3;-2.64;19.88;25.16;18.75
69;195.35;-2.48;19.99;25.04;18.81
70;195.4;-2.31;20.11;24.91;18.87
71;195.45;-2.16;20.23;24.8;18.93
72;195.5;-2.01;20.33;24.69;18.98
73;195.55;-1.87;20.41;24.59;19.01
74;195.6;-1.74;20.49;24.52;19.04
75;195.65;-1.63;20.57;24.46;19.08
76;195.7;-1.53;20.64;24.44;19.13
77;195.75;-1.44;20.72;24.46;19.19
78;195.8;-1.36;20.79;24.54;19.26
79;195.85;-1.3;20.82;24.74;19.34
80;195.9;-1.24;20.86;25.33;19.53
