Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;0.97;31.91;32.76;29.31
2;192.0;0.97;31.91;32.21;29.05
3;192.05;0.97;31.91;31.97;28.93
4;192.1;0.96;31.91;31.81;28.85
5;192.15;0.93;31.91;31.7;28.79
6;192.2;0.91;31.91;31.62;28.75
7;192.25;0.88;31.91;31.55;28.71
8;192.3;0.85;31.9;31.49;28.68
9;192.35;0.82;31.9;31.45;28.66
10;192.4;0.8;31.9;31.4;28.63
11;192.45;0.77;31.9;31.37;28.61
12;192.5;0.75;31.89;31.34;28.6
13;192.55;0.73;31.89;31.31;28.58
14;192.6;0.71;31.89;31.28;28.56
15;192.65;0.69;31.89;31.26;28.55
16;192.7;0.67;31.89;31.24;28.54
17;192.75;0.65;31.89;31.22;28.53
18;192.8;0.64;31.89;31.2;28.52
19;192.85;0.62;31.89;31.18;28.51
20;192.9;0.6;31.89;31.17;28.5
21;192.95;0.59;31.88;31.16;28.49
22;193.0;0.57;31.88;31.14;28.49
23;193.05;0.55;31.87;31.13;28.48
24;193.1;0.53;31.87;31.12;28.47
25;193.15;0.51;31.88;31.11;28.47
26;193.2;0.5;31.88;31.1;28.46
27;193.25;0.47;31.87;31.1;28.45
28;193.3;0.45;31.85;31.09;28.44
29;193.35;0.44;31.86;31.08;28.44
30;193.4;0.42;31.86;31.08;28.44
31;193.45;0.39;31.85;31.07;28.43
32;193.5;0.36;31.84;31.07;28.43
33;193.55;0.34;31.84;31.06;28.43
34;193.6;0.31;31.85;31.06;28.42
35;193.65;0.28;31.84;31.06;28.42
36;193.7;0.26;31.84;31.05;28.42
37;193.75;0.23;31.84;31.05;28.42
38;193.8;0.21;31.83;31.05;28.41
39;193.85;0.18;31.84;31.05;28.42
40;193.9;0.16;31.84;31.05;28.42
41;193.95;0.13;31.84;31.05;28.42
42;194.0;0.11;31.83;31.05;28.41
43;194.05;0.08;31.83;31.05;28.41
44;194.1;0.06;31.83;31.05;28.41
45;194.15;0.04;31.82;31.05;28.41
46;194.2;0.02;31.82;31.06;28.41
47;194.25;-0.0;31.82;31.06;28.41
48;194.3;-0.02;31.81;31.06;28.41
49;194.35;-0.04;31.81;31.07;28.41
50;194.4;-0.05;31.8;31.07;28.41
51;194.45;-0.07;31.8;31.08;28.42
52;194.5;-0.08;31.81;31.08;28.42
53;194.55;-0.1;31.8;31.09;28.42
54;194.6;-0.12;31.79;31.1;28.42
55;194.65;-0.14;31.79;31.1;28.42
56;194.7;-0.16;31.78;31.11;28.42
57;194.75;-0.18;31.77;31.12;28.43
58;194.8;-0.21;31.77;31.13;28.43
59;194.85;-0.25;31.76;31.14;28.43
60;194.9;-0.3;31.76;31.16;28.44
61;194.95;-0.36;31.75;31.17;28.44
62;195.0;-0.41;31.75;31.18;28.45
63;195.05;-0.49;31.74;31.2;28.45
64;195.1;-0.57;31.73;31.22;28.46
65;195.15;-0.68;31.74;31.24;28.47
66;195.2;-0.78;31.75;31.26;28.49
67;195.25;-0.9;31.75;31.28;28.5
68;195.3;-1.01;31.76;31.31;28.52
69;195.35;-1.14;31.76;31.34;28.53
70;195.4;-1.26;31.77;31.37;28.55
71;195.45;-1.38;31.78;31.4;28.58
72;195.5;-1.49;31.79;31.45;28.6
73;195.55;-1.59;31.79;31.49;28.63
74;195.6;-1.69;31.78;31.55;28.66
75;195.65;-1.77;31.78;31.62;28.69
76;195.7;-1.84;31.79;31.7;28.73
77;195.75;-1.9;31.79;31.81;28.79
78;195.8;-1.95;31.79;31.97;28.87
79;195.85;-1.98;31.79;32.21;28.98
80;195.9;-2.01;31.79;32.76;29.24
