Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.41;20.0;28.32;19.41
2;192.1;0.35;19.98;27.9;19.33
3;192.2;0.32;19.97;27.72;19.29
4;192.3;0.26;19.95;27.63;19.26
5;192.4;0.2;19.92;27.57;19.23
6;192.5;0.15;19.9;27.54;19.21
7;192.6;0.12;19.89;27.51;19.19
8;192.7;0.06;19.86;27.49;19.17
9;192.8;0.02;19.85;27.48;19.16
10;192.9;-0.01;19.83;27.47;19.14
11;193.0;-0.05;19.82;27.47;19.13
12;193.1;-0.06;19.81;27.46;19.12
13;193.2;-0.12;19.79;27.47;19.1
14;193.3;-0.15;19.77;27.47;19.09
15;193.4;-0.15;19.77;27.47;19.09
16;193.5;-0.17;19.76;27.47;19.08
17;193.6;-0.2;19.75;27.48;19.07
18;193.7;-0.22;19.74;27.49;19.06
19;193.8;-0.25;19.73;27.5;19.06
20;193.9;-0.31;19.7;27.52;19.04
21;194.0;-0.34;19.69;27.54;19.03
22;194.1;-0.39;19.67;27.56;19.02
23;194.2;-0.44;19.65;27.59;19.0
24;194.3;-0.47;19.63;27.61;18.99
25;194.4;-0.56;19.6;27.65;18.97
26;194.5;-0.59;19.58;27.67;18.96
27;194.6;-0.6;19.58;27.68;18.95
28;194.7;-0.6;19.58;27.69;18.95
29;194.8;-0.57;19.59;27.69;18.96
30;194.9;-0.5;19.61;27.67;18.98
31;195.0;-0.39;19.65;27.64;19.01
32;195.1;-0.23;19.71;27.59;19.05
33;195.2;-0.05;19.77;27.53;19.1
34;195.3;0.15;19.84;27.47;19.15
35;195.4;0.38;19.92;27.41;19.21
36;195.5;0.59;20.0;27.36;19.26
37;195.6;0.73;20.04;27.36;19.3
38;195.7;0.87;20.09;27.41;19.35
39;195.8;0.95;20.12;27.55;19.4
40;195.9;0.98;20.12;27.98;19.46
