Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.11;29.01;34.64;27.96
2;192.1;0.09;29.01;34.2;27.86
3;192.2;0.08;29.01;34.0;27.82
4;192.3;0.07;29.01;33.88;27.78
5;192.4;0.05;29.01;33.79;27.76
6;192.5;0.04;29.0;33.73;27.74
7;192.6;0.03;29.0;33.68;27.73
8;192.7;0.02;29.0;33.63;27.72
9;192.8;0.01;29.0;33.6;27.71
10;192.9;-0.0;29.0;33.57;27.7
11;193.0;-0.01;29.0;33.55;27.69
12;193.1;-0.01;28.99;33.52;27.68
13;193.2;-0.03;28.99;33.51;27.68
14;193.3;-0.03;28.99;33.49;27.67
15;193.4;-0.03;28.99;33.48;27.67
16;193.5;-0.04;28.99;33.47;27.66
17;193.6;-0.05;28.98;33.46;27.66
18;193.7;-0.05;28.98;33.46;27.66
19;193.8;-0.06;28.98;33.45;27.66
20;193.9;-0.07;28.98;33.45;27.65
21;194.0;-0.08;28.98;33.45;27.65
22;194.1;-0.09;28.98;33.45;27.65
23;194.2;-0.1;28.97;33.46;27.65
24;194.3;-0.11;28.97;33.46;27.65
25;194.4;-0.14;28.97;33.47;27.65
26;194.5;-0.14;28.97;33.48;27.65
27;194.6;-0.15;28.97;33.49;27.65
28;194.7;-0.15;28.96;33.51;27.66
29;194.8;-0.14;28.96;33.52;27.66
30;194.9;-0.12;28.96;33.55;27.66
31;195.0;-0.09;28.96;33.57;27.67
32;195.1;-0.05;28.96;33.6;27.68
33;195.2;-0.01;28.96;33.63;27.68
34;195.3;0.04;28.95;33.68;27.69
35;195.4;0.1;28.95;33.73;27.7
36;195.5;0.15;28.95;33.79;27.72
37;195.6;0.19;28.95;33.88;27.74
38;195.7;0.22;28.95;34.0;27.77
39;195.8;0.24;28.95;34.2;27.81
40;195.9;0.25;28.94;34.64;27.91
