Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.11;31.72;34.86;30.0
2;192.1;0.09;31.72;34.42;29.85
3;192.2;0.08;31.72;34.22;29.78
4;192.3;0.07;31.72;34.1;29.73
5;192.4;0.05;31.71;34.01;29.7
6;192.5;0.04;31.71;33.94;29.68
7;192.6;0.03;31.71;33.89;29.66
8;192.7;0.02;31.71;33.85;29.64
9;192.8;0.01;31.71;33.81;29.62
10;192.9;-0.0;31.71;33.78;29.61
11;193.0;-0.01;31.71;33.76;29.6
12;193.1;-0.01;31.7;33.74;29.59
13;193.2;-0.03;31.7;33.72;29.59
14;193.3;-0.03;31.7;33.71;29.58
15;193.4;-0.03;31.7;33.7;29.57
16;193.5;-0.04;31.7;33.69;29.57
17;193.6;-0.05;31.7;33.68;29.57
18;193.7;-0.05;31.7;33.67;29.56
19;193.8;-0.06;31.69;33.67;29.56
20;193.9;-0.07;31.69;33.67;29.56
21;194.0;-0.08;31.69;33.67;29.56
22;194.1;-0.09;31.69;33.67;29.56
23;194.2;-0.1;31.69;33.67;29.56
24;194.3;-0.11;31.69;33.68;29.56
25;194.4;-0.14;31.69;33.69;29.56
26;194.5;-0.14;31.68;33.7;29.56
27;194.6;-0.15;31.68;33.71;29.57
28;194.7;-0.15;31.68;33.72;29.57
29;194.8;-0.14;31.68;33.74;29.58
30;194.9;-0.12;31.68;33.76;29.59
31;195.0;-0.09;31.68;33.78;29.59
32;195.1;-0.05;31.68;33.81;29.6
33;195.2;-0.01;31.68;33.85;29.62
34;195.3;0.04;31.67;33.89;29.63
35;195.4;0.1;31.67;33.94;29.65
36;195.5;0.15;31.67;34.01;29.67
37;195.6;0.19;31.67;34.1;29.71
38;195.7;0.22;31.67;34.22;29.75
39;195.8;0.24;31.67;34.42;29.82
40;195.9;0.25;31.67;34.86;29.96
