Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;0.43;23.87;26.32;21.91
2;192.0;0.41;23.86;25.76;21.7
3;192.05;0.38;23.85;25.53;21.6
4;192.1;0.36;23.84;25.38;21.53
5;192.15;0.34;23.83;25.28;21.49
6;192.2;0.32;23.82;25.21;21.45
7;192.25;0.3;23.82;25.15;21.42
8;192.3;0.27;23.8;25.11;21.4
9;192.35;0.23;23.79;25.08;21.38
10;192.4;0.2;23.78;25.05;21.36
11;192.45;0.18;23.77;25.03;21.34
12;192.5;0.15;23.76;25.01;21.33
13;192.55;0.14;23.75;24.99;21.32
14;192.6;0.12;23.75;24.98;21.31
15;192.65;0.09;23.73;24.97;21.3
16;192.7;0.06;23.72;24.96;21.29
17;192.75;0.04;23.71;24.96;21.28
18;192.8;0.03;23.71;24.95;21.27
19;192.85;0.01;23.7;24.94;21.27
20;192.9;-0.01;23.69;24.94;21.26
21;192.95;-0.03;23.68;24.93;21.25
22;193.0;-0.04;23.68;24.93;21.25
23;193.05;-0.05;23.68;24.93;21.25
24;193.1;-0.06;23.67;24.92;21.24
25;193.15;-0.09;23.66;24.93;21.24
26;193.2;-0.11;23.65;24.93;21.23
27;193.25;-0.13;23.64;24.93;21.23
28;193.3;-0.14;23.64;24.93;21.23
29;193.35;-0.15;23.63;24.93;21.22
30;193.4;-0.15;23.63;24.93;21.22
31;193.45;-0.15;23.63;24.93;21.22
32;193.5;-0.16;23.63;24.93;21.22
33;193.55;-0.18;23.62;24.93;21.22
34;193.6;-0.19;23.61;24.94;21.22
35;193.65;-0.2;23.61;24.94;21.21
36;193.7;-0.22;23.6;24.95;21.21
37;193.75;-0.23;23.6;24.95;21.21
38;193.8;-0.24;23.59;24.96;21.21
39;193.85;-0.27;23.58;24.97;21.21
40;193.9;-0.3;23.57;24.98;21.21
41;193.95;-0.33;23.56;24.99;21.21
42;194.0;-0.34;23.55;25.0;21.21
43;194.05;-0.35;23.55;25.01;21.21
44;194.1;-0.38;23.54;25.02;21.21
45;194.15;-0.41;23.52;25.04;21.2
46;194.2;-0.43;23.52;25.05;21.2
47;194.25;-0.44;23.51;25.06;21.21
48;194.3;-0.46;23.5;25.07;21.21
49;194.35;-0.51;23.49;25.09;21.2
50;194.4;-0.56;23.47;25.1;21.2
51;194.45;-0.58;23.46;25.12;21.2
52;194.5;-0.59;23.45;25.13;21.2
53;194.55;-0.6;23.45;25.14;21.2
54;194.6;-0.6;23.45;25.14;21.2
55;194.65;-0.6;23.44;25.15;21.2
56;194.7;-0.59;23.45;25.15;21.21
57;194.75;-0.59;23.45;25.15;21.21
58;194.8;-0.56;23.46;25.15;21.21
59;194.85;-0.53;23.47;25.14;21.21
60;194.9;-0.5;23.48;25.14;21.22
61;194.95;-0.44;23.5;25.12;21.22
62;195.0;-0.39;23.51;25.11;21.23
63;195.05;-0.31;23.54;25.09;21.24
64;195.1;-0.22;23.57;25.07;21.25
65;195.15;-0.14;23.6;25.05;21.26
66;195.2;-0.05;23.63;25.02;21.26
67;195.25;0.04;23.66;25.0;21.27
68;195.3;0.15;23.7;24.97;21.28
69;195.35;0.28;23.74;24.95;21.29
70;195.4;0.39;23.78;24.92;21.31
71;195.45;0.49;23.82;24.91;21.32
72;195.5;0.6;23.85;24.9;21.33
73;195.55;0.67;23.87;24.9;21.35
74;195.6;0.74;23.9;24.92;21.37
75;195.65;0.81;23.92;24.95;21.39
76;195.7;0.88;23.94;25.0;21.43
77;195.75;0.93;23.96;25.08;21.47
78;195.8;0.95;23.97;25.21;21.53
79;195.85;0.97;23.97;25.45;21.64
80;195.9;0.98;23.97;26.02;21.87
