Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;0.98;31.91;34.86;30.13
2;192.1;0.97;31.91;34.42;29.97
3;192.2;0.92;31.9;34.22;29.9
4;192.3;0.86;31.9;34.1;29.85
5;192.4;0.81;31.89;34.01;29.81
6;192.5;0.76;31.89;33.94;29.79
7;192.6;0.72;31.88;33.89;29.76
8;192.7;0.68;31.88;33.85;29.74
9;192.8;0.65;31.89;33.81;29.73
10;192.9;0.61;31.88;33.78;29.72
11;193.0;0.58;31.87;33.76;29.7
12;193.1;0.54;31.87;33.74;29.69
13;193.2;0.5;31.87;33.72;29.69
14;193.3;0.46;31.85;33.71;29.67
15;193.4;0.43;31.86;33.7;29.67
16;193.5;0.37;31.83;33.69;29.65
17;193.6;0.32;31.84;33.68;29.65
18;193.7;0.27;31.83;33.67;29.65
19;193.8;0.22;31.83;33.67;29.64
20;193.9;0.17;31.83;33.67;29.64
21;194.0;0.11;31.83;33.67;29.64
22;194.1;0.07;31.82;33.67;29.64
23;194.2;0.03;31.81;33.67;29.63
24;194.3;-0.01;31.8;33.68;29.63
25;194.4;-0.05;31.79;33.69;29.63
26;194.5;-0.08;31.8;33.7;29.63
27;194.6;-0.11;31.78;33.71;29.63
28;194.7;-0.15;31.77;33.72;29.63
29;194.8;-0.2;31.76;33.74;29.63
30;194.9;-0.29;31.75;33.76;29.63
31;195.0;-0.4;31.74;33.78;29.63
32;195.1;-0.57;31.73;33.81;29.63
33;195.2;-0.77;31.74;33.85;29.66
34;195.3;-1.0;31.75;33.89;29.68
35;195.4;-1.25;31.76;33.94;29.7
36;195.5;-1.48;31.78;34.01;29.74
37;195.6;-1.68;31.77;34.1;29.77
38;195.7;-1.83;31.77;34.22;29.82
39;195.8;-1.94;31.78;34.42;29.89
40;195.9;-2.0;31.77;34.86;30.04
