Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.48;22.51;34.56;22.25
2;192.1;-0.48;22.51;34.12;22.22
3;192.2;-0.48;22.51;33.92;22.2
4;192.3;-0.48;22.51;33.8;22.19
5;192.4;-0.48;22.5;33.71;22.19
6;192.5;-0.48;22.5;33.64;22.18
7;192.6;-0.48;22.5;33.59;22.17
8;192.7;-1.9;22.5;33.55;22.17
9;192.8;4.92;22.49;33.52;22.16
10;192.9;4.98;22.49;33.49;22.16
11;193.0;-0.48;22.49;33.46;22.16
12;193.1;-0.48;22.49;33.44;22.15
13;193.2;-0.48;22.49;33.42;22.15
14;193.3;-0.48;22.48;33.41;22.15
15;193.4;-0.48;22.48;33.4;22.14
16;193.5;-0.48;22.48;33.39;22.14
17;193.6;-0.48;22.48;33.38;22.14
18;193.7;-0.48;22.47;33.37;22.14
19;193.8;-0.48;22.47;33.37;22.13
20;193.9;-0.48;22.47;33.37;22.13
21;194.0;-0.48;22.47;33.37;22.13
22;194.1;-0.48;22.47;33.37;22.13
23;194.2;-0.48;22.46;33.37;22.13
24;194.3;-0.48;22.46;33.38;22.12
25;194.4;-0.48;22.46;33.39;22.12
26;194.5;-0.48;22.46;33.4;22.12
27;194.6;-0.48;22.46;33.41;22.12
28;194.7;-0.48;22.45;33.42;22.12
29;194.8;-0.48;22.45;33.44;22.12
30;194.9;-0.48;22.45;33.46;22.12
31;195.0;-0.48;22.45;33.49;22.12
32;195.1;-0.48;22.45;33.52;22.12
33;195.2;-0.48;22.44;33.55;22.12
34;195.3;-0.48;22.44;33.59;22.12
35;195.4;-0.49;22.44;33.64;22.12
36;195.5;-0.49;22.44;33.71;22.12
37;195.6;-0.49;22.43;33.8;22.13
38;195.7;-0.49;22.43;33.92;22.13
39;195.8;-0.49;22.43;34.12;22.15
40;195.9;-0.49;22.43;34.56;22.17
