Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;-20.03;10.48;16.46;9.5
2;192.0;-20.03;10.48;16.2;9.45
3;192.05;-20.03;10.48;15.93;9.39
4;192.1;-20.03;10.48;15.66;9.33
5;192.15;-20.03;10.48;15.37;9.26
6;192.2;-20.03;10.47;15.06;9.18
7;192.25;-20.03;10.47;14.72;9.09
8;192.3;-20.03;10.47;14.36;8.98
9;192.35;-20.03;10.47;13.96;8.86
10;192.4;-20.03;10.47;13.52;8.72
11;192.45;-20.03;10.47;13.02;8.55
12;192.5;-20.03;10.47;12.45;8.34
13;192.55;-20.03;10.47;11.8;8.07
14;192.6;-20.03;10.47;11.02;7.73
15;192.65;-22.71;8.73;10.07;6.34
16;192.7;-25.7;6.72;8.82;4.64
17;192.75;-17.79;11.85;7.04;5.8
18;192.8;1.6;19.99;3.96;3.86
19;192.85;18.24;21.83;0.23;0.2
20;192.9;1.84;20.04;3.96;3.85
21;192.95;-14.55;13.74;7.04;6.2
22;193.0;-20.01;10.47;8.82;6.55
23;193.05;-20.01;10.47;10.06;7.25
24;193.1;-20.01;10.46;11.02;7.72
25;193.15;-20.01;10.46;11.79;8.07
26;193.2;-20.01;10.46;12.45;8.33
27;193.25;-20.01;10.46;13.01;8.54
28;193.3;-20.01;10.46;13.5;8.71
29;193.35;-20.01;10.46;13.94;8.85
30;193.4;-20.01;10.46;14.34;8.97
31;193.45;-20.01;10.46;14.7;9.07
32;193.5;-20.01;10.46;15.03;9.16
33;193.55;-20.01;10.45;15.34;9.23
34;193.6;-20.0;10.46;15.62;9.3
35;193.65;-20.0;10.46;15.88;9.36
36;193.7;-19.99;10.46;16.13;9.42
37;193.75;-19.99;10.46;16.36;9.46
38;193.8;-19.99;10.46;16.58;9.51
39;193.85;-19.99;10.46;16.78;9.55
40;193.9;-19.99;10.45;16.98;9.58
41;193.95;-19.99;10.45;17.16;9.61
42;194.0;-19.99;10.45;17.34;9.64
43;194.05;-19.99;10.45;17.51;9.67
44;194.1;-19.99;10.45;17.67;9.7
45;194.15;-19.99;10.45;17.82;9.72
46;194.2;-19.99;10.45;17.97;9.74
47;194.25;-19.99;10.45;18.11;9.76
48;194.3;-19.99;10.45;18.25;9.78
49;194.35;-19.99;10.45;18.38;9.8
50;194.4;-19.99;10.45;18.51;9.82
51;194.45;-19.98;10.45;18.63;9.83
52;194.5;-19.98;10.44;18.75;9.85
53;194.55;-19.98;10.44;18.86;9.86
54;194.6;-19.98;10.44;18.97;9.87
55;194.65;-19.98;10.44;19.08;9.88
56;194.7;-19.98;10.44;19.19;9.9
57;194.75;-19.98;10.44;19.29;9.91
58;194.8;-19.98;10.44;19.39;9.92
59;194.85;-19.97;10.44;19.48;9.93
60;194.9;-19.97;10.44;19.58;9.94
61;194.95;-19.97;10.44;19.67;9.95
62;195.0;-19.97;10.44;19.76;9.96
63;195.05;-19.97;10.44;19.84;9.97
64;195.1;-19.96;10.44;19.93;9.98
65;195.15;-19.95;10.44;20.01;9.99
66;195.2;-19.94;10.44;20.09;10.0
67;195.25;-19.93;10.45;20.18;10.01
68;195.3;-19.92;10.45;20.25;10.02
69;195.35;-19.91;10.45;20.33;10.03
70;195.4;-19.91;10.45;20.41;10.03
71;195.45;-19.9;10.45;20.49;10.04
72;195.5;-19.9;10.45;20.56;10.05
73;195.55;-19.89;10.45;20.64;10.06
74;195.6;-19.88;10.45;20.71;10.06
75;195.65;-19.88;10.45;20.79;10.07
76;195.7;-19.88;10.45;20.87;10.07
77;195.75;-19.88;10.45;20.95;10.08
78;195.8;-19.88;10.45;21.04;10.09
79;195.85;-19.87;10.45;21.14;10.1
80;195.9;-19.87;10.45;21.28;10.11
