Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.48;27.39;34.64;26.64
2;192.1;-0.48;27.39;34.2;26.56
3;192.2;-0.48;27.38;34.0;26.53
4;192.3;-0.48;27.38;33.88;26.5
5;192.4;-0.48;27.38;33.79;26.49
6;192.5;-0.48;27.38;33.73;26.47
7;192.6;-0.48;27.38;33.68;26.46
8;192.7;-1.9;27.37;33.63;26.45
9;192.8;4.92;27.37;33.6;26.44
10;192.9;4.98;27.37;33.57;26.44
11;193.0;-0.48;27.37;33.55;26.43
12;193.1;-0.48;27.37;33.52;26.42
13;193.2;-0.48;27.36;33.51;26.42
14;193.3;-0.48;27.36;33.49;26.42
15;193.4;-0.48;27.36;33.48;26.41
16;193.5;-0.48;27.36;33.47;26.41
17;193.6;-0.48;27.36;33.46;26.4
18;193.7;-0.48;27.35;33.46;26.4
19;193.8;-0.48;27.35;33.45;26.4
20;193.9;-0.48;27.35;33.45;26.4
21;194.0;-0.48;27.35;33.45;26.4
22;194.1;-0.48;27.35;33.45;26.4
23;194.2;-0.48;27.35;33.46;26.39
24;194.3;-0.48;27.34;33.46;26.39
25;194.4;-0.48;27.34;33.47;26.39
26;194.5;-0.48;27.34;33.48;26.39
27;194.6;-0.48;27.34;33.49;26.39
28;194.7;-0.48;27.34;33.51;26.4
29;194.8;-0.48;27.33;33.52;26.4
30;194.9;-0.48;27.33;33.55;26.4
31;195.0;-0.48;27.33;33.57;26.4
32;195.1;-0.48;27.33;33.6;26.41
33;195.2;-0.48;27.33;33.63;26.41
34;195.3;-0.48;27.32;33.68;26.42
35;195.4;-0.49;27.32;33.73;26.43
36;195.5;-0.49;27.32;33.79;26.44
37;195.6;-0.49;27.32;33.88;26.45
38;195.7;-0.49;27.32;34.0;26.47
39;195.8;-0.49;27.31;34.2;26.51
40;195.9;-0.49;27.31;34.64;26.58
