Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.03;20.93;28.66;20.25
2;192.1;-0.04;20.91;28.23;20.17
3;192.2;-0.05;20.81;28.04;20.06
4;192.3;-0.08;20.7;27.93;19.95
5;192.4;-0.1;20.64;27.85;19.89
6;192.5;-0.12;20.61;27.79;19.85
7;192.6;-0.11;20.64;27.73;19.86
8;192.7;-0.11;20.61;27.69;19.83
9;192.8;-0.11;20.63;27.66;19.85
10;192.9;-0.11;20.68;27.63;19.88
11;193.0;-0.12;20.71;27.61;19.9
12;193.1;-0.12;20.76;27.59;19.94
13;193.2;-0.1;20.78;27.56;19.96
14;193.3;-0.11;20.82;27.55;19.98
15;193.4;-0.11;20.83;27.54;19.99
16;193.5;-0.11;20.85;27.53;20.0
17;193.6;-0.11;20.86;27.52;20.02
18;193.7;-0.11;20.9;27.52;20.04
19;193.8;-0.11;20.9;27.52;20.04
20;193.9;-0.11;20.9;27.52;20.04
21;194.0;-0.12;20.92;27.52;20.06
22;194.1;-0.12;20.99;27.52;20.12
23;194.2;-0.12;21.04;27.53;20.16
24;194.3;-0.12;21.12;27.53;20.23
25;194.4;-0.12;21.22;27.54;20.31
26;194.5;-0.12;21.34;27.55;20.41
27;194.6;-0.11;21.43;27.56;20.48
28;194.7;-0.11;21.5;27.57;20.54
29;194.8;-0.11;21.53;27.59;20.57
30;194.9;-0.11;21.55;27.61;20.59
31;195.0;-0.11;21.49;27.63;20.54
32;195.1;-0.12;21.32;27.66;20.41
33;195.2;-0.1;21.13;27.69;20.26
34;195.3;-0.09;20.88;27.72;20.06
35;195.4;-0.09;20.63;27.78;19.86
36;195.5;-0.09;20.39;27.85;19.67
37;195.6;-0.11;20.26;27.94;19.58
38;195.7;-0.12;20.23;28.07;19.57
39;195.8;-0.12;20.31;28.27;19.66
40;195.9;-0.12;20.49;28.71;19.88
