Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;0.03;20.97;26.52;19.9
2;192.0;0.03;20.97;25.97;19.78
3;192.05;0.03;20.97;25.72;19.72
4;192.1;0.03;20.95;25.57;19.67
5;192.15;0.02;20.91;25.47;19.6
6;192.2;0.01;20.86;25.39;19.55
7;192.25;0.01;20.8;25.32;19.49
8;192.3;0.0;20.75;25.27;19.44
9;192.35;0.0;20.72;25.22;19.4
10;192.4;0.0;20.7;25.18;19.37
11;192.45;-0.0;20.68;25.15;19.35
12;192.5;-0.0;20.66;25.12;19.33
13;192.55;0.0;20.68;25.09;19.33
14;192.6;0.0;20.69;25.06;19.34
15;192.65;-0.01;20.66;25.04;19.31
16;192.7;-0.02;20.65;25.02;19.3
17;192.75;-0.01;20.66;25.0;19.3
18;192.8;-0.01;20.68;24.99;19.31
19;192.85;-0.01;20.71;24.97;19.32
20;192.9;-0.01;20.73;24.96;19.34
21;192.95;-0.01;20.75;24.94;19.35
22;193.0;-0.01;20.76;24.93;19.36
23;193.05;-0.02;20.79;24.92;19.37
24;193.1;-0.02;20.81;24.91;19.39
25;193.15;-0.01;20.82;24.9;19.39
26;193.2;-0.01;20.84;24.89;19.39
27;193.25;-0.01;20.85;24.88;19.41
28;193.3;-0.01;20.87;24.87;19.42
29;193.35;-0.01;20.88;24.87;19.42
30;193.4;-0.01;20.88;24.86;19.42
31;193.45;-0.02;20.89;24.86;19.43
32;193.5;-0.02;20.9;24.85;19.43
33;193.55;-0.02;20.91;24.85;19.43
34;193.6;-0.02;20.92;24.85;19.44
35;193.65;-0.02;20.94;24.84;19.45
36;193.7;-0.02;20.95;24.84;19.46
37;193.75;-0.02;20.95;24.84;19.46
38;193.8;-0.03;20.95;24.84;19.46
39;193.85;-0.03;20.95;24.84;19.46
40;193.9;-0.02;20.95;24.84;19.46
41;193.95;-0.02;20.96;24.84;19.47
42;194.0;-0.02;20.98;24.84;19.48
43;194.05;-0.03;21.01;24.84;19.51
44;194.1;-0.03;21.04;24.84;19.53
45;194.15;-0.03;21.07;24.84;19.55
46;194.2;-0.03;21.1;24.84;19.57
47;194.25;-0.03;21.14;24.85;19.6
48;194.3;-0.03;21.18;24.85;19.63
49;194.35;-0.03;21.23;24.85;19.66
50;194.4;-0.03;21.28;24.86;19.7
51;194.45;-0.02;21.34;24.86;19.74
52;194.5;-0.02;21.4;24.86;19.79
53;194.55;-0.01;21.45;24.87;19.82
54;194.6;-0.01;21.5;24.87;19.85
55;194.65;-0.01;21.53;24.88;19.88
56;194.7;-0.01;21.57;24.89;19.91
57;194.75;-0.02;21.58;24.9;19.92
58;194.8;-0.02;21.6;24.91;19.93
59;194.85;-0.02;21.61;24.92;19.95
60;194.9;-0.01;21.62;24.93;19.96
61;194.95;-0.02;21.59;24.95;19.94
62;195.0;-0.02;21.55;24.96;19.92
63;195.05;-0.02;21.47;24.98;19.87
64;195.1;-0.02;21.39;24.99;19.82
65;195.15;-0.02;21.3;25.01;19.76
66;195.2;-0.01;21.2;25.03;19.69
67;195.25;-0.01;21.07;25.05;19.61
68;195.3;-0.01;20.95;25.07;19.53
69;195.35;-0.02;20.82;25.1;19.44
70;195.4;-0.02;20.69;25.14;19.36
71;195.45;-0.02;20.57;25.17;19.28
72;195.5;-0.02;20.47;25.22;19.21
73;195.55;-0.02;20.4;25.26;19.17
74;195.6;-0.02;20.34;25.32;19.14
75;195.65;-0.03;20.32;25.39;19.14
76;195.7;-0.03;20.31;25.48;19.16
77;195.75;-0.03;20.34;25.58;19.21
78;195.8;-0.03;20.39;25.74;19.28
79;195.85;-0.03;20.48;25.98;19.4
80;195.9;-0.02;20.58;26.53;19.6
