Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.11;18.55;28.63;18.14
2;192.1;-0.11;18.54;28.2;18.09
3;192.2;-0.13;18.47;28.01;18.02
4;192.3;-0.15;18.4;27.9;17.94
5;192.4;-0.17;18.36;27.82;17.9
6;192.5;-0.19;18.34;27.76;17.87
7;192.6;-0.18;18.37;27.7;17.89
8;192.7;-0.18;18.33;27.66;17.85
9;192.8;-0.18;18.35;27.63;17.86
10;192.9;-0.18;18.38;27.6;17.89
11;193.0;-0.19;18.39;27.58;17.9
12;193.1;-0.19;18.43;27.56;17.93
13;193.2;-0.18;18.43;27.53;17.93
14;193.3;-0.18;18.45;27.52;17.95
15;193.4;-0.18;18.45;27.51;17.94
16;193.5;-0.18;18.46;27.5;17.95
17;193.6;-0.19;18.47;27.49;17.96
18;193.7;-0.18;18.5;27.49;17.98
19;193.8;-0.18;18.49;27.49;17.97
20;193.9;-0.18;18.47;27.49;17.96
21;194.0;-0.19;18.48;27.49;17.97
22;194.1;-0.2;18.52;27.49;18.01
23;194.2;-0.2;18.55;27.5;18.03
24;194.3;-0.2;18.59;27.5;18.07
25;194.4;-0.2;18.64;27.51;18.11
26;194.5;-0.19;18.71;27.52;18.18
27;194.6;-0.19;18.76;27.53;18.22
28;194.7;-0.19;18.79;27.54;18.25
29;194.8;-0.19;18.8;27.56;18.26
30;194.9;-0.19;18.81;27.58;18.27
31;195.0;-0.19;18.77;27.6;18.23
32;195.1;-0.2;18.66;27.63;18.14
33;195.2;-0.18;18.55;27.66;18.04
34;195.3;-0.17;18.41;27.7;17.93
35;195.4;-0.17;18.27;27.75;17.81
36;195.5;-0.17;18.13;27.82;17.69
37;195.6;-0.18;18.06;27.91;17.63
38;195.7;-0.19;18.04;28.04;17.62
39;195.8;-0.19;18.09;28.24;17.69
40;195.9;-0.19;18.2;28.68;17.83
