Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;191.95;0.01;26.58;32.55;25.6
2;192.0;0.01;26.58;32.0;25.48
3;192.05;0.01;26.58;31.75;25.43
4;192.1;0.01;26.57;31.6;25.38
5;192.15;-0.0;26.53;31.49;25.33
6;192.2;-0.01;26.49;31.4;25.27
7;192.25;-0.01;26.44;31.34;25.22
8;192.3;-0.01;26.4;31.28;25.18
9;192.35;-0.01;26.37;31.23;25.14
10;192.4;-0.01;26.35;31.19;25.12
11;192.45;-0.01;26.33;31.15;25.09
12;192.5;-0.01;26.32;31.12;25.08
13;192.55;-0.0;26.33;31.09;25.08
14;192.6;0.0;26.34;31.07;25.08
15;192.65;-0.01;26.32;31.04;25.06
16;192.7;-0.01;26.31;31.02;25.05
17;192.75;-0.01;26.33;31.0;25.05
18;192.8;-0.01;26.34;30.99;25.06
19;192.85;-0.01;26.36;30.97;25.07
20;192.9;-0.01;26.38;30.96;25.08
21;192.95;-0.01;26.4;30.94;25.09
22;193.0;-0.01;26.42;30.93;25.1
23;193.05;-0.01;26.44;30.92;25.12
24;193.1;-0.01;26.46;30.91;25.13
25;193.15;-0.0;26.47;30.9;25.13
26;193.2;0.0;26.47;30.89;25.13
27;193.25;-0.0;26.49;30.88;25.14
28;193.3;-0.01;26.51;30.88;25.16
29;193.35;-0.01;26.52;30.87;25.16
30;193.4;-0.01;26.52;30.86;25.16
31;193.45;-0.01;26.53;30.86;25.17
32;193.5;-0.01;26.54;30.85;25.17
33;193.55;-0.01;26.55;30.85;25.17
34;193.6;-0.0;26.55;30.85;25.18
35;193.65;-0.0;26.57;30.84;25.19
36;193.7;-0.0;26.59;30.84;25.2
37;193.75;-0.01;26.59;30.84;25.2
38;193.8;-0.01;26.59;30.84;25.2
39;193.85;-0.01;26.59;30.84;25.2
40;193.9;-0.01;26.59;30.83;25.2
41;193.95;-0.01;26.6;30.83;25.21
42;194.0;-0.01;26.61;30.84;25.22
43;194.05;-0.01;26.64;30.84;25.24
44;194.1;-0.01;26.67;30.84;25.26
45;194.15;-0.01;26.7;30.84;25.28
46;194.2;-0.01;26.73;30.84;25.3
47;194.25;-0.01;26.76;30.85;25.33
48;194.3;-0.01;26.8;30.85;25.36
49;194.35;-0.01;26.84;30.85;25.39
50;194.4;-0.0;26.88;30.86;25.42
51;194.45;-0.0;26.94;30.86;25.46
52;194.5;-0.0;26.99;30.87;25.5
53;194.55;-0.0;27.03;30.88;25.53
54;194.6;-0.0;27.07;30.88;25.56
55;194.65;-0.0;27.11;30.89;25.59
56;194.7;-0.0;27.14;30.9;25.61
57;194.75;-0.0;27.15;30.91;25.63
58;194.8;-0.0;27.17;30.92;25.64
59;194.85;-0.0;27.18;30.93;25.65
60;194.9;0.0;27.18;30.94;25.66
61;194.95;-0.0;27.16;30.96;25.64
62;195.0;-0.0;27.13;30.97;25.63
63;195.05;-0.0;27.05;30.99;25.58
64;195.1;-0.0;26.98;31.0;25.53
65;195.15;0.01;26.89;31.02;25.47
66;195.2;0.01;26.8;31.04;25.41
67;195.25;0.01;26.68;31.07;25.33
68;195.3;0.01;26.57;31.09;25.26
69;195.35;0.01;26.45;31.12;25.18
70;195.4;0.01;26.34;31.15;25.1
71;195.45;0.01;26.23;31.19;25.03
72;195.5;0.0;26.13;31.23;24.96
73;195.55;0.01;26.07;31.28;24.92
74;195.6;0.01;26.02;31.34;24.9
75;195.65;0.0;26.0;31.4;24.9
76;195.7;0.0;25.99;31.49;24.91
77;195.75;0.01;26.02;31.6;24.96
78;195.8;0.01;26.06;31.75;25.03
79;195.85;0.01;26.14;32.0;25.14
80;195.9;0.01;26.23;32.55;25.32
