Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-9.31;19.64;25.09;18.55
2;192.1;-9.31;19.64;24.57;18.43
3;192.2;-9.31;19.64;24.05;18.3
4;192.3;-9.31;19.64;23.45;18.13
5;192.4;-9.31;19.63;22.72;17.9
6;192.5;-9.31;19.63;21.78;17.56
7;192.6;-9.31;19.63;20.43;17.0
8;192.7;-14.98;16.59;18.12;14.28
9;192.8;12.31;25.75;12.38;12.19
10;192.9;12.56;25.78;12.17;11.98
11;193.0;-9.3;19.62;17.98;15.71
12;193.1;-9.3;19.62;20.34;16.96
13;193.2;-9.3;19.62;21.7;17.53
14;193.3;-9.3;19.62;22.63;17.86
15;193.4;-9.3;19.62;23.34;18.08
16;193.5;-9.3;19.61;23.9;18.24
17;193.6;-9.3;19.61;24.36;18.36
18;193.7;-9.29;19.61;24.74;18.45
19;193.8;-9.29;19.61;25.07;18.52
20;193.9;-9.29;19.61;25.35;18.58
21;194.0;-9.29;19.61;25.6;18.63
22;194.1;-9.29;19.6;25.82;18.67
23;194.2;-9.29;19.6;26.02;18.71
24;194.3;-9.29;19.6;26.2;18.74
25;194.4;-9.28;19.6;26.37;18.77
26;194.5;-9.28;19.6;26.52;18.79
27;194.6;-9.28;19.6;26.66;18.82
28;194.7;-9.28;19.59;26.79;18.84
29;194.8;-9.28;19.59;26.91;18.85
30;194.9;-9.28;19.59;27.03;18.87
31;195.0;-9.28;19.59;27.14;18.88
32;195.1;-9.28;19.59;27.25;18.9
33;195.2;-9.27;19.58;27.36;18.91
34;195.3;-9.26;19.58;27.46;18.93
35;195.4;-9.26;19.58;27.57;18.94
36;195.5;-9.26;19.58;27.68;18.95
37;195.6;-9.25;19.58;27.8;18.97
38;195.7;-9.25;19.57;27.93;18.98
39;195.8;-9.25;19.57;28.11;19.0
40;195.9;-9.25;19.57;28.42;19.04
