Ch.;Channel frequency (THz);Channel power (dBm);OSNR ASE (signal bw, dB);SNR NLI (signal bw, dB);GSNR (signal bw, dB)
1;192.0;-0.01;26.57;34.64;25.94
2;192.1;-0.01;26.55;34.2;25.86
3;192.2;-0.02;26.47;34.0;25.77
4;192.3;-0.03;26.38;33.88;25.67
5;192.4;-0.03;26.33;33.79;25.61
6;192.5;-0.03;26.3;33.73;25.58
7;192.6;-0.02;26.32;33.68;25.58
8;192.7;-0.03;26.3;33.63;25.56
9;192.8;-0.03;26.32;33.6;25.57
10;192.9;-0.03;26.36;33.57;25.61
11;193.0;-0.03;26.39;33.55;25.63
12;193.1;-0.03;26.44;33.52;25.67
13;193.2;-0.02;26.45;33.51;25.67
14;193.3;-0.03;26.49;33.49;25.7
15;193.4;-0.03;26.5;33.48;25.71
16;193.5;-0.03;26.52;33.47;25.72
17;193.6;-0.02;26.53;33.46;25.73
18;193.7;-0.02;26.56;33.46;25.75
19;193.8;-0.03;26.57;33.45;25.76
20;193.9;-0.03;26.56;33.45;25.75
21;194.0;-0.03;26.59;33.45;25.78
22;194.1;-0.03;26.65;33.45;25.83
23;194.2;-0.03;26.7;33.46;25.87
24;194.3;-0.03;26.77;33.46;25.93
25;194.4;-0.03;26.86;33.47;26.0
26;194.5;-0.03;26.96;33.48;26.09
27;194.6;-0.03;27.05;33.49;26.16
28;194.7;-0.03;27.11;33.51;26.21
29;194.8;-0.03;27.14;33.52;26.24
30;194.9;-0.03;27.15;33.55;26.26
31;195.0;-0.03;27.1;33.57;26.22
32;195.1;-0.03;26.95;33.6;26.1
33;195.2;-0.02;26.76;33.63;25.95
34;195.3;-0.02;26.53;33.68;25.77
35;195.4;-0.02;26.31;33.73;25.58
36;195.5;-0.03;26.1;33.79;25.42
37;195.6;-0.03;25.98;33.88;25.33
38;195.7;-0.03;25.95;34.0;25.32
39;195.8;-0.03;26.03;34.2;25.41
40;195.9;-0.03;26.2;34.64;25.62
